Source,Destination,Weight,Source_Name,Destination_Name
UCobGGRwg9mG2R0YTqzGgIDA,UC097-iwu1cccMi7kyY6nFXA,3,@rokess5053,@kidredglow2060
UCungstO2oFNmwMKnnwJeZow,UCQrcWuKA2wT2TyaalFcL7mg,3,@Yhhmoyghkouffjj,@sssf55
UCyqLLbMS2CGleIi9G9db17A,UCpHQ8mSF19Ml1Yk_hnGcoeQ,3,@alatan2064,@Silas2-p7c
UCubwrfi4Vfk-gdM4BBtoSJg,UCXHNKH1RtgbyC_a71k7dfHg,3,@mrping2603,@pausenfueller6685
UCxVAltdD39FMniyEh8Vp6fQ,UCKPgLQb1Nli3iyNRFRGpttg,3,@willperez3469,@mms3453
UCWHwCyAp2CtKMVm25ZG4BAw,UCaItA_xyCNvDSf-DLkzClRg,3,@MatthewTheWanderer,@Siliconversations
UCtKE4CCU76ADQ7ezTONs5xA,UCOtYf0KC_w67do1xXoP4gvw,3,@megajohnson1984,@mousermind
UCkXIhl9IRytDitiAS5PGqwQ,UCnZ0m3grbidmmDJtnBuJI7g,3,@hywoo72,@mihoyminoy8730
UCPjv4TuENNlimzy98x8SVOw,UC7a6_ORZFJ0V9g2h-AGYwkw,3,@blackpinkinyourareaaa7846,@urphakeandgey6308
UCO4OLu1L1FhQIvtv7UqaXDQ,UC-EVWjDDEmcrjFHU9UmAEIw,3,@ivoryas1696,@whoisbarnes
UCg1eh1FFp377AJOSBBjAe0A,UCOPKNbr1DXMFzCxK9QpKaGQ,3,@JuanaWatchDaWorldBurn,@IgorReminnyi
UCPhQ8i5y246G7yenG8G3FNA,UCwicfou4Ewu-koikmga-bEg,3,@NamesDemeanUsBoth,@AI_In_Context
UCNyXYwCY61J7a1tofSkB0sg,UCk1syZdgG_j79Ka3dD1_Gbw,3,@larryhoward.Jhn316,@PhotoPunk79
UCP3p520_Bzi3Gji-TateAqA,UCKPgLQb1Nli3iyNRFRGpttg,3,@mudslingur,@mms3453
UCJDkHFn4P0b64XhVH2n3A9Q,UC3z5zyokw1WfEyHdsijZV3A,3,@--story--,@Super_Sonic_gamer714
UCPlmTD33mFWAbnKUdGP-WQg,UCKPgLQb1Nli3iyNRFRGpttg,3,@gdbauaas6570,@mms3453
UC0-lko_j6W4hEbgQuHswNtA,UCKPgLQb1Nli3iyNRFRGpttg,3,@CalebResponds,@mms3453
UC-baqTPhklD47Pl9yesuSRw,UCs3PndQfWmTlprDuwLA-z7g,3,@squidge125,@aayushniraula5113
UCksa76tadh4vc1IwXcyj8mw,UC097-iwu1cccMi7kyY6nFXA,3,@artistaccount,@kidredglow2060
UCPyHfgGhISxQyS_zBHcfS-A,UCKPgLQb1Nli3iyNRFRGpttg,3,@sickna-sty3244,@mms3453
UCkBjukRXyEEHEZhmQXb-ILQ,UC-EVWjDDEmcrjFHU9UmAEIw,3,@cfb6451,@whoisbarnes
UC8_SIyVwUPREEqrLB8s5ilw,UCrgRBctqRU_V7bWn9EnsPmQ,3,@baba_kebaba,@aenlorOfficial
UCNyXYwCY61J7a1tofSkB0sg,UCHoc4JfXcXYEWA9GCvRlSVg,3,@larryhoward.Jhn316,@Brandypop
UC8EvpwztW9m2dF1-A2ijQxg,UCm4KYsmc3QdvQbctgKMe2Fw,3,@FelipeKana1,@masaantic8445
UC9baE7TiKN9lfKupyr5kGuA,UCpHQ8mSF19Ml1Yk_hnGcoeQ,3,@jakemelinko,@Silas2-p7c
UCvb4kzJS9sphzM5aWW70RrA,UCKPgLQb1Nli3iyNRFRGpttg,2,@theravenousrabbit3671,@mms3453
UCEiZhiD1CGLhUJUFZzY9iAg,UCKPgLQb1Nli3iyNRFRGpttg,2,@uiuxshoaib,@mms3453
